City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,fada,9.5667,8.3,19.22,98,93,0.68,NG,1718167244
328,iskateley,67.6803,53.1512,10.01,76,100,2.24,RU,1718167244
329,denov,38.2667,67.9,36.15,18,5,1.25,UZ,1718167244
330,lamu,-2.2717,40.902,26.26,78,61,7.82,KE,1718167244
331,nizhneangarsk,55.7833,109.55,10.0,77,71,0.89,RU,1718167180
332,bowen,-20.0167,148.2333,22.7,51,0,4.6,AU,1718167244
333,saint-philippe,-21.3585,55.7679,22.77,83,100,8.78,RE,1718167244
334,sandnessjoen,66.0217,12.6316,8.29,93,75,2.06,NO,1718167244
335,seversk,56.6006,84.8864,24.49,51,25,4.24,RU,1718167244
336,am timan,11.0297,20.2827,26.16,66,99,1.5,TD,1718167244
337,puerto baquerizo moreno,-0.9,-89.6,20.7,91,13,3.98,EC,1718167244
338,essaouira,31.5125,-9.77,18.72,77,0,4.63,MA,1718167244
339,indramayu,-6.3264,108.32,29.97,67,61,3.37,ID,1718167244
340,orkney,-26.9802,26.6727,5.3,59,43,2.96,ZA,1718167244
341,st. john's,47.5649,-52.7093,14.04,90,75,8.23,CA,1718167005
342,baltasi,56.3462,50.2062,24.36,66,83,6.49,RU,1718167244
343,portstewart,55.1813,-6.714,9.39,68,98,5.47,GB,1718167245
344,fremantle,-32.05,115.7667,19.95,76,40,2.57,AU,1718167245
345,hammerfest,70.6634,23.6821,9.25,93,75,1.03,NO,1718167245
346,praia da vitoria,38.7333,-27.0667,17.14,94,20,1.79,PT,1718167245
347,leticia,-4.2153,-69.9406,24.03,100,0,0.0,CO,1718167103
348,hithadhoo,-0.6,73.0833,28.5,73,95,2.52,MV,1718167245
349,saint-gaudens,43.0833,0.6667,11.68,98,100,1.47,FR,1718167245
350,padang,-0.9492,100.3543,32.03,70,95,2.32,ID,1718167245
351,freetown,8.484,-13.2299,26.23,87,87,2.45,SL,1718167245
352,fort mcmurray,56.7268,-111.381,16.77,63,100,2.06,CA,1718167245
353,ayorou,14.7308,0.9174,28.12,57,73,6.22,NE,1718167245
354,nuevo san juan parangaricutiro,19.4,-102.1333,18.83,74,95,0.77,MX,1718167245
355,ochakiv,46.6128,31.5498,21.64,82,35,2.65,UA,1718167245
356,sierra grande,-41.606,-65.3557,13.01,69,100,6.34,AR,1718167245
357,yoloten,37.2989,62.3597,37.41,16,10,4.55,TM,1718167245
358,santanyi,39.3546,3.1291,18.23,78,100,3.73,ES,1718167245
359,aykhal,66.0,111.5,23.16,29,70,3.79,RU,1718167245
360,tralee,52.2704,-9.7026,5.9,93,16,1.19,IE,1718167245
361,tolanaro,-25.0319,46.9987,20.04,88,75,6.17,MG,1718167130
362,carbonear,47.7332,-53.2148,14.3,96,100,3.87,CA,1718167245
